code;libellé;date de début de validité;date de fin de validité;20/02/2025
0625;Convention collective nationale des cadres et agents de maîtrise des services généraux et administratifs des théâtres cinématographiques;01/01/1900;
0627;Convention collective départementale des employés, techniciens et agents de maîtrise du bâtiment et des travaux publics de La Réunion;01/01/1900;
0635;Convention collective nationale du négoce en fournitures dentaires (annexée à la convention collective nationale des commerces de gros 0573);01/01/1900;19/04/2024
0637;Convention collective des industries et du commerce de la récupération;01/01/1900;
0650;Convention collective nationale des ingénieurs et cadres de la métallurgie;01/01/1900;31/12/2023
0653;Convention collective nationale des salariés commerciaux des sociétés d'assurances;01/01/1900;
0663;Convention collective départementale des ouvriers boulangers d'Ille-et-Vilaine (boulangerie);01/01/1900;
0669;Convention collective nationale des industries de fabrication mécanique du verre;01/01/1900;
0673;Convention collective nationale de la fourrure (annexée à la convention collective nationale de la couture parisienne 0303);01/01/1900;07/08/2023
0675;Convention collective nationale des maisons à succursales de vente au détail d'habillement;01/01/1900;
0693;Convention collective nationale de travail des employés de la presse quotidienne départementale;01/01/1900;01/01/2022
0698;Convention collective nationale de travail des employés de la presse quotidienne régionale;01/01/1900;01/01/2022
0700;Convention collective nationale des ingénieurs et cadres de la production des papiers, cartons et celluloses;01/01/1900;23/07/2022
0706;Convention collective nationale du personnel de la reprographie (annexée à la convention collective nationale des commerces de détail de papeterie, fournitures de bureau, de bureautique et informatique et de librairie 1539);01/01/1900;19/04/2024
0707;Convention collective nationale des ingénieurs et cadres de la transformation des papiers cartons et de la pellicule cellulosique;01/01/1900;23/07/2022
0713;Convention collective des surveillants personnels administratifs et de service de l'enseignement primaire privé des arrondissements de Saint-Etienne et Montbrison (Loire);01/01/1900;
0714;Convention collective départementale des industries du travail des métaux de la Moselle (métallurgie);01/01/1900;31/12/2023
0715;Convention collective nationale des instruments à écrire et des industries connexes (annexée à la convention collective du personnel des industries du cartonnage 0489);01/01/1900;31/01/2024
0716;Convention collective nationale des employés et ouvriers de la distribution cinématographique;01/01/1900;
0731;Convention collective nationale des commerces de quincaillerie, fournitures industrielles, fers, métaux et équipement de la maison, cadres;01/01/1900;01/08/2023
0733;Convention collective nationale des détaillants en chaussure;01/01/1900;
0735;Convention collective nationale du commerce des machines à coudre;01/01/1900;
0749;Convention collective départementale des ouvriers du bâtiment et des travaux publics de la Martinique;01/01/1900;
0759;Convention collective nationale des pompes funèbres;01/01/1900;
0771;Convention collective départementale des ingénieurs assimilés et cadres du bâtiment et des travaux publics de La Réunion;01/01/1900;
0779;Convention collective nationale de travail du personnel des voies ferrées d'intérêt local;01/01/1900;08/06/2021
0780;Convention collective régionale des tailleurs sur mesure de la région parisienne (annexée à la convention collective nationale de la couture parisienne 0303);01/01/1900;27/11/2023
0781;Convention collective nationale des cadres administratifs de la presse quotidienne départementale;01/01/1900;01/01/2022
