code;libellé;12/03/2025
2023/13/17/11333,00/15348,99;28
2023/13/18/15349,00/24093,99;33
2023/13/19/24094,00/51610,99;38
2023/13/20/51611,00/999999999999,99;43
2023/23/1/0,00/1740,99;0
2023/23/2/1741,00/1846,99;0,5
2023/23/3/1847,00/2034,99;1,3
2023/23/4/2035,00/2221,99;2,1
2023/23/5/2222,00/2453,99;2,9
2023/23/6/2454,00/2587,99;3,5
2023/23/7/2588,00/2676,99;4,1
2023/23/8/2677,00/2944,99;5,3
2023/23/9/2945,00/3640,99;7,5
2023/23/10/3641,00/4658,99;9,9
2023/23/11/4659,00/5291,99;11,9
2023/23/12/5292,00/6129,99;13,8
2023/23/13/6130,00/7343,99;15,8
2023/23/14/7344,00/8164,99;17,9
2023/23/15/8165,00/9279,99;20
2023/23/16/9280,00/12760,99;24
2023/23/17/12761,00/16955,99;28
2023/23/18/16956,00/25879,99;33
2023/23/19/25880,00/56567,99;38
2023/23/20/56568,00/999999999999,99;43
2023/33/1/0,00/1864,99;0
2023/33/2/1865,00/2015,99;0,5
2023/33/3/2016,00/2247,99;1,3
2023/33/4/2248,00/2533,99;2,1
2023/33/5/2534,00/2631,99;2,9
2023/33/6/2632,00/2721,99;3,5
2023/33/7/2722,00/2810,99;4,1
2023/33/8/2811,00/3122,99;5,3
2023/33/9/3123,00/4309,99;7,5
2023/33/10/4310,00/5577,99;9,9
2023/33/11/5578,00/6290,99;11,9
2023/33/12/6291,00/7299,99;13,8
2023/33/13/7300,00/8030,99;15,8
2023/33/14/8031,00/8896,99;17,9
2023/33/15/8897,00/10324,99;20
2023/33/16/10325,00/13890,99;24
2023/33/17/13891,00/17668,99;28
2023/33/18/17669,00/28316,99;33
2023/33/19/28317,00/59769,99;38
2023/33/20/59770,00/999999999999,99;43
2022/13/1/0,00/1439,99;0
2022/13/2/1440,00/1495,99;0,5
2022/13/3/1496,00/1591,99;1,3
2022/13/4/1592,00/1698,99;2,1
2022/13/5/1699,00/1815,99;2,9
2022/13/6/1816,00/1912,99;3,5
2022/13/7/1913,00/2039,99;4,1
2022/13/8/2040,00/2413,99;5,3
2022/13/9/2414,00/2762,99;7,5
2022/13/10/2763,00/3146,99;9,9
2022/13/11/3147,00/3542,99;11,9
2022/13/12/3543,00/4133,99;13,8
2022/13/13/4134,00/4955,99;15,8
2022/13/14/4956,00/6201,99;17,9
2022/13/15/6202,00/7746,99;20
2022/13/16/7747,00/10751,99;24
2022/13/17/10752,00/14562,99;28
2022/13/18/14563,00/22859,99;33
2022/13/19/22860,00/48966,99;38
2022/13/20/48967,00/999999999999,99;43
2022/23/1/0,00/1651,99;0
2022/23/2/1652,00/1751,99;0,5
2022/23/3/1752,00/1930,99;1,3
2022/23/4/1931,00/2107,99;2,1
2022/23/5/2108,00/2327,99;2,9
2022/23/6/2328,00/2454,99;3,5
2022/23/7/2455,00/2539,99;4,1
2022/23/8/2540,00/2793,99;5,3
2022/23/9/2794,00/3453,99;7,5
2022/23/10/3454,00/4419,99;9,9
2022/23/11/4420,00/5020,99;11,9
2022/23/12/5021,00/5815,99;13,8
2022/23/13/5816,00/6967,99;15,8
2022/23/14/6968,00/7746,99;17,9
2022/23/15/7747,00/8804,99;20
2022/23/16/8805,00/12106,99;24
2022/23/17/12107,00/16086,99;28
2022/23/18/16087,00/24553,99;33
2022/23/19/24554,00/53669,99;38
2022/23/20/53670,00/999999999999,99;43
2022/33/1/0,00/1768,99;0
2022/33/2/1769,00/1912,99;0,5
2022/33/3/1913,00/2132,99;1,3
2022/33/4/2133,00/2403,99;2,1
2022/33/5/2404,00/2496,99;2,9
2022/33/6/2497,00/2582,99;3,5
2022/33/7/2583,00/2666,99;4,1
2022/33/8/2667,00/2962,99;5,3
2022/33/9/2963,00/4088,99;7,5
2022/33/10/4089,00/5291,99;9,9
2022/33/11/5292,00/5968,99;11,9
2022/33/12/5969,00/6925,99;13,8
2022/33/13/6926,00/7619,99;15,8
2022/33/14/7620,00/8440,99;17,9
2022/33/15/8441,00/9795,99;20
2022/33/16/9796,00/13178,99;24
2022/33/17/13179,00/16763,99;28
2022/33/18/16764,00/26865,99;33
2022/33/19/26866,00/56707,99;38
2022/33/20/56708,00/999999999999,99;43
2021/13/1/0,00/1419,99;0
2021/13/2/1420,00/1474,99;0,5
2021/13/3/1475,00/1569,99;1,3
2021/13/4/1570,00/1675,99;2,1
2021/13/5/1676,00/1790,99;2,9
2021/13/6/1791,00/1886,99;3,5
2021/13/7/1887,00/2011,99;4,1
2021/13/8/2012,00/2380,99;5,3
2021/13/9/2381,00/2724,99;7,5
2021/13/10/2725,00/3103,99;9,9
2021/13/11/3104,00/3493,99;11,9
2021/13/12/3494,00/4076,99;13,8
2021/13/13/4077,00/4887,99;15,8
2021/13/14/4888,00/6115,99;17,9
2021/13/15/6116,00/7639,99;20
2021/13/16/7640,00/10603,99;24
