code;libellé;25/09/2024
FE39A;Famille d'emploi IEG ''39A'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE40;Famille d'emploi IEG ''40'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE40A;Famille d'emploi IEG ''40A'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE41;Famille d'emploi IEG ''41'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE41A;Famille d'emploi IEG ''41A'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE42;Famille d'emploi IEG ''42'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE43;Famille d'emploi IEG ''43'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE44;Famille d'emploi IEG ''44'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE50;Famille d'emploi IEG ''50V15'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE50A;Famille d'emploi IEG ''50AV15'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE52;Famille d'emploi IEG ''52'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE53;Famille d'emploi IEG ''53'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE54;Famille d'emploi IEG ''54'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE55;Famille d'emploi IEG ''55'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE55A;Famille d'emploi IEG ''55A'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE56;Famille d'emploi IEG ''56'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE56A;Famille d'emploi IEG ''56A'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE57;Famille d'emploi IEG ''57'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE57A;Famille d'emploi IEG ''57A'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
FE58;Famille d'emploi IEG ''58'' (Référentiel de classement des emplois en service actif IEG - Version 1er avril 2015)
